metrique,1_mois,6_mois,12_mois,median_global
Token turnover (fully diluted),-2.182744509376686,24.733631283783225,57.19190430858835,27.470115148464743
Earnings,7.481717091880129,-8.647418333547666,71.75353228043808,15.049198332008714
Circulating supply,1.6435737752202968,19.59278300006898,34.59245026138451,7.903889758313543
Token holders,1.332769219856921,6.4020223554931786,6.26526489273668,4.5838490023599325
P/S ratio (fully diluted),-9.9397796318521,104.79461982326345,60.48965354116213,4.417990534026972
Core developers,-0.1716887341495147,2.738678676929338,4.710405342413367,1.3938448801109935
Active users (daily),-3.7128564500812673,-27.13250974954485,-38.620024774118555,-16.046729801652084
Active users (monthly),-1.6652513432564382,-27.025053904619813,-39.574792899443864,-17.188467739063434
Net deposits,-13.62964543544822,-35.29798306312623,-36.32092878352383,-24.956307701607173
Treasury,-19.915364901219576,-34.2387500552814,-48.45412161124375,-31.803787986269768
Trading volume,-13.058647667603609,-33.89715022595217,-70.52600062636549,-33.89715022595217
Fees,-13.301307056081807,-57.75674522238274,-70.57188528888392,-44.595800742140774
Fully diluted market cap,-21.651876185480138,-52.30958697534783,-61.18971287800102,-45.03219369375791
Price,-19.91205021645081,-46.963627932503606,-63.48945348584713,-45.7789364333309
Revenue,-14.516961974975,-68.67345146664246,-78.42303538967478,-59.49695268936189
