Metric,May 2025,Apr 2025,Mar 2025,Feb 2025,Jan 2025,Dec 2024,Nov 2024,Oct 2024,Sep 2024,Aug 2024,Jul 2024,Jun 2024,May 2024,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,Jun 2020,May 2020,Apr 2020,Mar 2020,Feb 2020
Fees,486300,859800,953200,1500000,2700000,3400000,1900000,941000,907100,1300000,1800000,2400000,2500000,4000000,9100000,5800000,3900000,4800000,3100000,1500000,2300000,3200000,3500000,2500000,5500000,4400000,2300000,1900000,2100000,1500000,1600000,941000,593900,632500,627100,1900000,2800000,1600000,1100000,1500000,3500000,3400000,2700000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Supply-side fees),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Revenue,486300,859800,953200,1500000,2700000,3400000,1900000,941000,907100,1300000,1800000,2400000,2500000,4000000,9100000,5800000,3900000,4800000,3100000,1500000,2300000,3200000,3500000,2500000,5500000,4400000,2300000,1900000,2100000,1500000,1600000,941000,593900,632500,627100,1900000,2800000,1600000,1100000,1500000,3500000,3400000,2700000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Expenses),498400,17200000,9900000,10300000,43300000,31600000,24200000,24700000,23800000,2200000,7600000,22200000,9100000,3600000,17500000,23000000,64800000,11400000,9400000,6500000,97100000,12000000,4300000,8700000,16399999,12200000,12500000,47800000,2800000,7500000,10200000,5300000,6300000,11100000,23300000,1600000,1800000,1200000,927000,1400000,2600000,2000000,2600000,2600000,1800000,706200,73200,2500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Cost of revenue),1200,4800,1600,4700,14800,17300,7900,6000,4700,2900,6400,42200,9100,15600,5500000,5700000,3000000,4099999,2500000,732500,790400,2300000,2500000,1700000,4600000,3300000,1900000,1600000,1600000,1100000,1200000,779000,466300,505500,500700,1500000,1800000,1200000,927000,1400000,2600000,2000000,2600000,2600000,1800000,706200,73200,2500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(Token incentives),497200,17200000,9900000,10300000,43300000,31600000,24200000,24700000,23800000,2200000,7600000,22200000,9100000,3600000,12000000,17300000,61800000,7300000,6900000,5800000,96300000,9700000,1800000,7000000,11800000,8800000,10500000,46200000,1200000,6300000,9000000,4500000,5800000,10600000,22800000,72900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Earnings,-12100,-16340200,-8946800,-8800000,-40600000,-28200000,-22300000,-23759000,-22892900,-900000,-5800000,-19800000,-6600000,400000,-8400000,-17200000,-60900000,-6600000,-6300000,-5000000,-94800000,-8800000,-800000,-6200000,-10899999,-7800000,-10200000,-45900000,-700000,-6000000,-8600000,-4359000,-5706100,-10467500,-22672900,300000,1000000,400000,173000,100000,900000,1400000,100000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gross profit,485100,855000,951600,1500000,2700000,3400000,1900000,935000,902300,1300000,1800000,2400000,2500000,3900000,3600000,148900,863400,661900,628600,780400,1500000,941400,973300,776900,994400,1100000,428600,319000,516100,385000,360200,161900,127600,127000,126400,415300,1100000,484900,195900,157100,833400,1400000,1100000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Price,0.7,0.7,0.9,1.1,1.8,2.2,1.8,1.7,1.6,1.4,1.7,2.0,2.6,2.7,3.9,3.6,3.4,2.6,1.7,1.3,1.3,1.5,1.4,1.3,1.7,2.3,2.4,2.7,1.7,1.0,1.0,0.8,1.1,1.4,0.8,0.8,1.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating supply,1700000000,1700000000,1600000000,1500000000,1400000000,1300000000,1300000000,1300000000,1200000000,1200000000,1100000000,1100000000,1100000000,1000000000,1000000000,959100000,947000000,911300000,880800000,875200000,798500000,719300000,660300000,644600000,338100000,314800000,289000000,214700000,214700000,214700000,214700000,214700000,214700000,214700000,214700000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fully diluted market cap,3200000000,3000000000,3800000000,4800000000,7500000000,9500000000,7900000000,7100000000,6800000000,6000000000,7300000000,8800000000,11200000000,11400000000,16899999999,15300000000,14400000000,11000000000,7200000000,5600000000,5700000000,6600000000,6000000000,5500000000,7400000000,10000000000,10400000000,11700000000,7200000000,4300000000,4200000000,3600000000,4700000000,6200000000,3300000000,3200000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Circulating market cap,1200000000,1200000000,1400000000,1600000000,2400000000,2900000000,2300000000,2100000000,1900000000,1700000000,1900000000,2200000000,2800000000,2700000000,4000000000,3400000000,3200000000,2300000000,1500000000,1100000000,1100000000,1100000000,931200000,825000000,577900000,735000000,695700000,585800000,360300000,214100000,210700000,182200000,233600000,308400000,166100000,161800000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token trading volume,4400000000,3600000000,4600000000,6600000000,9200000000,19400000000,21200000000,7300000000,4700000000,6000000000,7000000000,6200000000,9000000000,8500000000,12800000000,6700000000,10100000000,12000000000,4500000000,2400000000,1900000000,3700000000,3600000000,4000000000,3500000000,4500000000,10100000000,11800000000,7700000000,2100000000,4000000000,3000000000,4800000000,7700000000,4900000000,5300000000,183000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token turnover (fully diluted),7.8,4.0,3.8,4.9,3.9,6.5,8.8,3.3,2.3,3.3,3.1,2.4,2.6,2.6,2.4,1.5,2.2,3.3,2.1,1.4,1.1,1.8,1.9,2.4,1.5,1.5,3.1,3.6,3.2,1.6,3.0,2.5,3.4,4.0,3.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token turnover (circulating),20.2,10.5,10.1,14.6,12.5,21.5,30.3,11.4,8.2,11.9,12.0,9.4,10.3,10.7,10.3,6.6,10.0,15.6,10.0,6.9,6.0,10.7,12.1,16.0,19.3,19.9,46.7,71.4,64.3,31.9,60.5,49.2,67.2,79.1,75.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Token holders,1300000,1300000,1300000,1300000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1100000,1100000,1100000,1100000,1000000,1000000,1000000,927000,824100,756900,681000,627000,590900,540200,495600,420800,297700,206200,150800,115700,102700,91700,85600,1200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P/F ratio (fully diluted),304.2,299.4,252.6,175.4,248.5,270.4,471.9,632.3,612.2,324.8,300.7,285.4,315.1,161.1,157.3,329.9,286.4,220.7,249.9,302.9,176.8,150.3,192.6,128.9,115.5,268.0,383.9,520.6,294.8,268.7,251.8,429.9,671.1,739.1,382.1,110.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P/F ratio (circulating),117.4,115.3,95.3,60.7,78.2,81.5,137.9,184.7,170.8,89.8,78.7,73.0,78.3,38.5,36.9,73.6,63.2,46.8,51.3,61.7,32.9,25.2,29.6,19.3,9.0,19.6,25.5,26.0,14.7,13.4,12.6,21.5,33.6,37.0,19.1,5.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P/S ratio (fully diluted),304.2,299.4,252.6,175.4,248.5,270.4,471.9,632.3,612.2,324.8,300.7,285.4,315.1,161.1,157.3,329.9,286.4,220.7,249.9,302.9,176.8,150.3,192.6,128.9,115.5,268.0,383.9,520.6,294.8,268.7,251.8,429.9,671.1,739.1,382.1,110.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
P/S ratio (circulating),117.4,115.3,95.3,60.7,78.2,81.5,137.9,184.7,170.8,89.8,78.7,73.0,78.3,38.5,36.9,73.6,63.2,46.8,51.3,61.7,32.9,25.2,29.6,19.3,9.0,19.6,25.5,26.0,14.7,13.4,12.6,21.5,33.6,37.0,19.1,5.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Active users (daily),134200,96600,68600,100600,81300,76000,69900,84300,68700,63100,83600,113000,117900,134700,108500,91800,66700,70400,87500,59100,80800,107200,100300,84700,65099,59400,43900,43500,46600,54800,37000,26800,19000,15300,12800,20800,7900,4700,2500,2000,2000,2900,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Active users (weekly),654900,446100,358500,477800,399000,386000,340400,409000,353100,323300,451800,622700,665200,729400,583900,497600,360200,362200,474100,306400,407800,514700,504600,421500,343600,297100,221600,188900,225100,219200,145200,102800,76300,76600,57700,105800,33600,20900,11700,9900,10500,15200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Active users (monthly),1900000,1200000,1400000,1300000,1300000,1200000,1300000,1200000,1100000,1200000,1700000,1900000,2300000,2200000,1700000,1400000,1200000,1300000,1300000,991200,1300000,1400000,1300000,1100000,883800,774000,582900,451200,660500,454200,307500,242100,171000,233800,207700,256100,91000,46200,30900,27200,39400,45700,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Core developers,91.4,107.7,118.1,128.3,121.8,136.9,130.9,116.0,108.1,118.5,101.6,106.0,117.0,95.2,81.5,79.9,73.8,66.3,67.0,70.1,78.5,70.5,46.6,56.2,43.5,41.8,44.9,36.8,30.6,32.7,38.1,38.8,38.1,28.8,31.7,34.1,34.7,32.1,33.5,35.3,33.6,31.0,22.8,22.9,26.5,20.0,21.8,19.9,21.0,27.1,25.8,12.8,9.1,9.3,7.8,6.8,3.7,2.0,1.8,1.4,0.6,1.5,1.3,N/A
Code commits,467.0,3600,1200,2000,1600,1700,2000,2900,4700,4900,4900,6600,8400,8300,7600,1700,1700,1900,2000,2000,2000,1500,904.0,1500,1400,1800,1800,1300,1300,1200,981.0,1100,857.0,673.0,871.0,1000,479.0,592.0,1100,868.0,1100,1000,958.0,910.0,974.0,497.0,499.0,613.0,505.0,814.0,912.0,466.0,312.0,477.0,328.0,431.0,334.0,7.0,13.0,7.0,N/A,0.0,2.0,N/A
